Name,Ask Price,Quantity,Category,,
Full size Mini Fridge - Turqouise,$60.00,1,Appliances,,
Full size Mini Fridge - Black ,$50.00,2,Appliances,,
Half size mini fridge,$25.00,2,Appliances,,
Ninja Foodi 5qt 7 in 1,$25.00,1,Appliances,,
Insta Pot,$10.00,1,Appliances,,
NEW Samsung HCF8000 TV,$125.00,3,Applicances,,
Large Stop Sign,$20.00,4,Décor,,
Small Stop Sign,$10.00,5,Décor,,
XL Yoga Mat - Black,$15.00,1,Exercise,,
Yoga Mat - Pink,$10.00,1,Exercise,,
Yoga Mat - Black,$10.00,1,Exercise,,
Blue Bissel Vacuum,$50.00,1,Home,,
3 tier utility cart,$10.00,3,Home,,
Large Candle,$6.00,5,Household,,
Medium Candel,$4.00,5,Household,,
Brooms,$2.00,3,Household,,
Small Candles,$2.00,10,Household,,
Misc. Bead Jewelry,$1.00,50,Jewelry,,
Collectable Starbucks Cups,$6.00,20,Kitchen,,
Brita Fridge Dispenser,$5.00,3,Kitchen,,
Misc. Kitchen Items,$1.00,50,Kitchen,,
Glass Cups,$1.00,20,Kitchen,,
Folding Hunting Blind,$25.00,1,Outdoors,,
Fold up hunting blind,$20.00,1,Outdoors,,
Large Coleman Cooler,$20.00,1,Outdoors,,
Camp chair with cup holder,$15.00,1,Outdoors,,
Igloo Cooler,$12.00,1,Outdoors,,
IGLOO Cooler,$12.00,1,Outdoors,,
Tennis Balls,$1.00,21,Outdoors,,
Hello Kitty Skateboard,$40.00,1,Sports,,
Nike Golf Bag - Grey,$15.00,1,Sports,,
Ripstick,$8.00,1,Sports,,
Pennyboard,$5.00,2,Sports,,
Skateboard,$5.00,1,Sports,,
75683-Glinda & Elphabas Dorm,$50.00,1,Toys / Lego,,
Large Squishmallows,$10.00 ,25,Toys / Plush,,
Medium Squishmallows,$5.00 ,25,Toys / Plush,,
Xtra Small Squishmallows,$2.00 ,25,Toys / Plush,,
Suitcases,$5.00,4,Travel,,
Nintendo Switch OLED - Mario Red,$200.00,1,Video Games,,
Nintendo Switch OLED - Zelda,$200.00,1,Video Games,,
